概念名,标签,描述摘要,所属大类,建议分解方向,分解理由,是否为原子概念,建议新建父概念,处理优先级
考核,"官制, 政治",考核，考察核实，古代官员政绩考核之制度。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
考满,"制度, 考核, 官吏, 任期",官员任职期满接受考核，唐代考课制度的重要环节。通鉴中考满是官员迁转升降的依据。,度量,度量·数量·基础,,,待定,中
考竟,"刑罚, 法律, 司法",拷问究治，为古代司法审讯中严加考问、究治其罪之意。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
考第,"制度, 汉代, 南北朝",考第，考核评定等级之意，为古代考课制度的核心环节,度量,度量·数量·基础,,,待定,中
考绩,"政治, 制度",考绩，考核政绩，古代官员绩效考核之制度。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
考覆,"制度, 法律",考覆，考核审查，覆核验证。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
耆旧,"社会, 人物",耆旧，年高而有声望者，古代指地方绅老故旧。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
耆老,"社会, 老人, 尊老, 民政",年高德劭的长者，古代社会受尊重的群体，朝廷常以存问耆老为仁政。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
耒_(概念),"周, 汉, 农业, 耒",耒，古代翻土农具，耒耜之属,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耕_(概念),"经济, 农业, 耕, [[耘_(概念)|耘]] | [[刈_(概念)|刈]] | [[农_(概念)|农]] | [[织_(概念)|织]] | [[穑_(概念)|穑]]",耕作、耕种，农业之本,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耕桑,"民生, 经济",耕桑，耕田种桑，农桑生产。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耕牧,"民生, 经济",耕牧，农耕畜牧，生产劳作。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耕田,"农业, 生产, 经济",耕种田地，古代农业基本生产活动，为国家赋税之根本,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耕稼,"生产, 农业",耕种庄稼，农业劳动。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耕籍,"礼仪, 制度",耕籍，古代帝王亲耕籍田的礼仪，以示重农劝耕之意,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
耕织,经济,耕织生产,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耕耘,"农业, 经济, 民生",农耕之基本劳作，古代立国之本。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耕藉,"礼仪, 制度",耕藉，古代帝王亲耕藉田的礼仪，以示重农劝农之意,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
耘_(概念),"经济, 农业, 耘, [[耕_(概念)|耕]] | [[刈_(概念)|刈]] | [[种_(概念)|种]] | [[获_(概念)|获]] | [[农_(概念)|农]]",除草，田间管理之重要环节,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耨_(概念),"文化, 农业, 耨, [[耒]] | [[农具]] | [[耕]] | [[农业]] | [[农事]]",锄草农具，亦为耕作之义。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
耳_(概念),"人体, 耳",耳朵，听觉器官，古代礼仪与象征,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
耳目,"社会, 文化",耳闻目见，指见闻；亦指刺探消息的人,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
耻,"概念, 道德",耻，羞耻之心，古代道德观念中个人对过错或不义行为的内心愧怍，为廉耻观念的核心之一。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
耻_(概念),"思想, 文化, 耻, [[廉耻]] | [[荣_(概念)|荣]] | [[辱_(概念)|辱]] | [[羞_(概念)|羞]] | [[贾谊]]",古代道德观念，指羞耻心，无羞耻则无所不为。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
职事官,"官职, 制度",职事官，唐代有实际职掌之官员，与散官勋官相对；通鉴记东宫王府诸署皆为京职事官，州县镇戍为外职事官。,爵位,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
职掌,"官职, 制度",职掌，指官员或机构的职能管辖范围，亦指具体负责某事的官吏,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
职田,"唐, 制度, 田制",职田，唐代按品级授予官员的禄田,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
职贡,"外交, 经济",职贡，藩属国之贡赋，古代朝贡体系之核心制度。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
聚,"社会, 地理",聚，聚集、聚落、汇聚；并诸小乡聚集为一县为商鞅废井田之政，要党聚众为太子平聚兵攻子之。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
聚敛,"经济, 政治",聚敛，搜刮聚财，古代指统治者横征暴敛。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
聚落,"社会, 地理",聚落，古代人群聚居的地方，泛指村落和居民点,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
聩,"概念, 疾病",聩，耳聋；引申为愚昧不明。史书常以聩形容年老耳背或昏聩无能。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
聪明睿智,"成语, 南北朝, 五代",聪慧明达、见识卓越；出自武帝问乐运太子为人、周世宗诏论用人,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
肆_(概念),"经济, 建筑, 肆, [[廛_(概念)|廛]] | [[邸_(概念)|邸]] | [[店_(概念)|店]] | [[市]] | [[市集]]",市肆、店铺；亦指放肆、肆志，纵意而行,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
肆赦,"制度, 法律",肆赦，语出《尚书》，指宽宥过失、赦免罪犯，为古代赦免制度的重要形式,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
肉,"文化, 生活, 军事",肉食，亦喻骨肉亲情、强权鱼肉。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
肉_(概念),"饮食, 人体, 肉",肉指禽兽之肉，亦指人体肌肉,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肉薄,"军事, 战术",肉薄，以人体迫近攻击，古代攻城战中之人海战术。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
肉袒,"概念, 礼仪, 刑罚",肉袒，脱去上衣裸露肢体，古代表示认罪归顺或请罪的仪式性行为。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
肉食,"生活, 饮食",肉类食物，古代贵族享用的主要食品，亦指谋食于朝堂之人,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
肌,身体,肌，肌肉肌肤；饥寒切于肌肤为民生苦痛，刻肌肤为肉刑之残。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肌_(概念),"文化, 身体, 肌, [[肉刑]] | [[贾谊]] | [[陆续]] | [[熊睦]] | [[肌肤]] | [[刑罚]]",肌肉，肌肤为身体表层，刻肌肤为古代肉刑之痛。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肌肤,"社会, 法律",皮肤肌肉，常喻切身之痛。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
肘,"人体, 政治","肘，胳膊肘，常用于""肘腋""喻指亲近或要害之处。",政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
肘_(概念),"文化, 身体, 肘, [[肘腋]] | [[腋]] | [[腹心]] | [[警示]] | [[身体]]",手臂关节，通鉴中以肘示意为暗中提醒之举。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肝,身体,肝，肝脏；肝胆涂地喻战乱惨烈，肝脑涂地表忠贞之志，食马肝为方士诈辞。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肝_(概念),"文化, 医学, 肝, [[胆]] | [[肝脑涂地]] | [[忠义]] | [[牺牲]] | [[身体]]",肝脏，五脏之一，肝胆肝脑为忠诚之喻。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肝胆,"社会, 政治",肝胆，肝脏与胆囊，古代喻指赤诚之心或亲密关系。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
肝脑涂地,"成语, 忠义, 西汉, 东汉",形容竭尽忠诚，不惜一死，出自《资治通鉴》,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
肠,身体,肠，肠道；自屠出肠为聂政自毁之烈，羊肠为险要地形，荡肠正世为羌胡旧俗。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肠_(概念),"身体, 肠",肠胃,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
股肱,"政治, 社会",股肱，大腿与手臂，古代喻指辅佐帝王之重臣。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
股肱之臣,"成语, 西晋, 南北朝, 唐",像大腿和胳膊一样重要的辅佐大臣；出自江统论骨肉之祸、卢辩论萧梁、李绛论危局,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
肤,身体,肤，皮肤肌肤；饥寒切于肌肤为民生之苦，刑至刻肌肤为肉刑之痛。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肤_(概念),"文化, 身体, 肤",皮肤、肌肤，指身体表层，刻肌肤为古代肉刑之痛。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肩,身体,肩，肩膀；肩摩毂击为市井之盛，断右肩喻失强援，彘肩为樊哙鸿门之勇。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肩_(概念),"身体, 肩",肩膀,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肱,"人体, 政治",肱，上臂，喻指股肱之臣，帝王所倚重的大臣。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
肴,"汉代, 饮食, 社会生活",菜肴，酒肉等食品。,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
肴_(概念),"饮食, 生活, 肴",菜肴，荤菜,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
肺,身体,肺，肺腑；肺附喻宗室至亲，肺腑之连言亲近关系。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
肺_(概念),"医学, 文化, 政治, 肺, [[肺腑]] | [[宗亲]] | [[至亲]] | [[医学]] | [[文化]]",肺脏，肺腑喻至亲或内心,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
肺腑,"政治, 社会",内心、肺腑，喻亲近信任之人或出自内心,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
胃_(概念),"身体, 胃, [[肠胃]] | [[甲胄]] | [[王莽]] | [[沈攸之]] | [[刘宋前废帝]] | [[石勒]]",胃脏；精气，精华,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
胄,"军事, 器物",胄，古代战士护头之盔；通鉴记山东之士被甲蒙胄而会战，介胄之士不拜请以军礼见。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
胆,身体,胆，胆囊；肝胆涂地喻惨烈，破胆寒心言畏惧，胆气益壮为勇猛之气。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
胆_(概念),"文化, 身体, 胆, [[肝]] | [[胆量]] | [[勇气]] | [[身体]] | [[忠诚]]",胆量，肝胆涂地喻竭忠尽力或惨烈牺牲,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
背_(概念),"身体, 背",背部，脊背,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
背水,"军事, 战术, 谋略",背靠河流布阵，自断退路以激发士兵死战决心，为古代著名战术。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
背盟,"外交, 政治, 谋略",背弃盟约的行为，战国至秦汉政治军事斗争中常见。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
胜负,军事,胜负，胜利与失败，古代军事较量之核心范畴。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
胡,"民族, 军事",胡，胡人、匈奴；胡服骑射为赵武灵王变法，胡地尽收为秦汉武功。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
胡_(概念),"民族, 四夷, 胡",北方游牧民族泛称,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
胡乐,文化,胡乐，西北少数民族音乐，唐代盛行,文艺,建议作为礼仪的子类或独立父概念,音乐文艺与礼乐制度密切相关,否,建议确认「音乐·文艺」是否作为新的独立父概念,中
胡人,"胡人, 民族, 四夷",古代对北方游牧民族的泛称。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
胡兵,"胡兵, 军事, 骑兵",古代北方游牧民族的骑兵部队。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
胡商,"经济, 社会",胡商，来自西域或北方少数民族之商人；通鉴记日南太守侵刻胡商致林邑攻陷日南，唐末借富户及胡商货财。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
胡地,"地理, 民族, 战国",北方胡人之地，赵国胡服骑射拓边之地。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
胡服,"服饰, 改革",北方游牧民族的服装，赵武灵王推行胡服骑射。,服饰,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
胡语,"胡语, 语言, 文化",古代北方游牧民族的语言。,民族,保留为独立父概念，下辖具体古代民族部落,古代民族部落是独立的知识领域,否,建议确认「民族·部落」是否作为新的独立父概念,中
胡马,"胡马, 军事, 马政",古代北方游牧民族的马匹，亦泛指良马。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
胤_(概念),"文化, 社会, 胤",胤嗣、后胤。后妃有贞淑之行则胤嗣有贤圣之君，竞立胤嗣继体传爵为中官之请。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
胥吏,"胥吏, 官制, 社会",古代官府中办理文书事务的吏员。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
胫_(概念),"文化, 身体, 胫, [[股]] | [[足]] | [[要]] | [[身体]] | [[疾病]]",小腿，通鉴中以胫喻肢体，胫大如腰为病态之象。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
胶西王,"爵位, 西汉",西汉诸侯王封号，以胶西郡为封地。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
胸,身体,胸，胸腹；覆胸腹喻全军一体，揕胸为荆轲刺秦之举。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
胸_(概念),"身体, 胸",胸膛,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
能,"哲学, 社会",能，才能、能力、贤能；能者在位为治国之要，选贤任能为王政之本。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
能吏,"政治, 制度",能吏，能力出众之官吏；能吏治事为国之利器，然用法严峻亦为酷吏之渐。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
能臣,"政治, 历史",能臣，能力出众之臣；能臣治事为国之利器，贤能兼得为用人之要。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
脂_(概念),"文化, 生活, 脂, [[油]] | [[膏]] | [[田单]] | [[孔奋]] | [[董卓]] | [[火牛阵]]",油脂，古代照明、润滑及日常之用。,器用,油脂，归入器物/饮食,具体物质,,需审核,低
脉,身体,脉，血脉经脉；绝脉为举鼎力尽而死，落脉通为百川治理，血脉为宗亲之系。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
脉_(概念),"医学, 文化, 脉",人体经脉或脉搏，中医诊脉为重要诊断手段,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
脍_(概念),"文化, 饮食, 脍, [[炙]] | [[羹]] | [[饮食]] | [[祭祀]] | [[美食]]",细切鱼肉，脍炙为古代美食。,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
脣,身体,脣，嘴唇；唇亡齿寒为千古名喻，反唇相稽为妇姑之争，唇舌为谗言利器。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
脯,"文化, 生活",肉脯。脯鄂侯为纣之暴，脯五束为汉赐不绝之礼，杅水脯为汉明帝俭葬之制。,度量,度量·数量·基础,,,待定,中
脯_(概念),"商, 礼制, 饮食, 脯",古代干肉，亦指脯刑。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
脱颖而出,"成语, 赵国, 平原君",毛遂以锥处囊中其末立见为喻说服平原君的典故，比喻人的才能全部显露出来,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
脾_(概念),"人体, 生理, 脾","脾为五脏之一，古人以""入人肝脾""喻深入人心",人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
腊日,"节日, 礼制, 祭祀",古代腊祭之日，岁末合祭众神,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
腕_(概念),"文化, 身体, 腕, [[壮士解腕]] | [[蝮蛇]] | [[桓冲]] | [[谢安]]",手腕，扼腕为古代表示愤慨、惋惜或决断之姿态。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
腰,身体,腰，腰部；腰斩为秦汉酷刑，细腰为楚王好尚，腰玉为高官之佩。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
腰_(概念),"身体, 腰",腰身,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
腴_(概念),"经济, 农业, 腴, [[膏腴]] | [[沃野]] | [[田]] | [[农业]] | [[经济]]",肥沃膏腴,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
腹,身体,腹，腹部；心腹喻亲信股肱，腹心之疾喻要害之患，决腹为慷慨赴死。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
腹_(概念),"身体, 腹",腹部,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
腹心,"政治, 军事",腹心，喻指核心要害，古代指心腹重臣或核心区域。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
腹心之任,"成语, 三国, 南北朝",心腹重任，指最亲信的人担当的职务；出自蒋济论中书、司马昭委钟会、侯景分职,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
腹背,"军事, 战术, 形势",前后两面同时受敌，为古代军事中形容军队陷入被夹击困境的重要战术概念。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
膏_(概念),"经济, 农业, 膏, [[脂]] | [[膏腴]] | [[肥沃]] | [[经济]] | [[农业]]",脂膏，引申为肥沃、恩泽,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
膏粱,"社会, 阶层",肥肉与细粮，借指富贵子弟、世家贵族,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
膏腴,"地理, 经济",肥沃的土地，指富饶之地。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
膝,身体,膝，膝盖；膝行谢罪为卑屈之礼，膝行而前为畏服之态。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
膝_(概念),"文化, 身体, 膝, [[跪]] | [[拜]] | [[礼]] | [[谢罪]] | [[敬畏]]",膝盖，膝行为古代跪行表示敬畏或谢罪之礼。,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
膳,"汉代, 制度, 饮食",膳食，宫廷饮食供给制度，亦指减膳为灾异时之省俭举措。,器用,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
膳_(概念),"饮食, 礼制, 膳",膳食，古代饮食制度,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
臀_(概念),"文化, 法律, 臀, [[笞]] | [[杖]] | [[肉刑]] | [[刑罚]] | [[法律]]",臀部，笞臀为汉代笞刑之部位，后定制杖臀。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
臂,"身体, 军事",手臂；奋臂指壮士之气，如臂使指喻中央控御，猿臂善射为李广之绝技。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
臂_(概念),"身体, 臂, [[肩]] | [[胸]] | [[手]] | [[指]]",手臂,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
